"scientific","family","rec_gbif"
"Gonzalagunia cornifolia (Kunth) Standl.","Rubiaceae",1
"Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.","Zingiberaceae",1
"Galeandra devoniana R.H.Schomb. ex Lindl.","Orchidaceae",1
"Miconia duckei Cogn.","Melastomataceae",1
"Roucheria schomburgkii Planch.","Linaceae",1
"Humiria A.St.-Hil.","Humiriaceae",1
"Miconia domociliata Michelang.","Melastomataceae",1
"Trichomanes diaphanum Kunth","Hymenophyllaceae",1
"Rourea accrescens Forero","Connaraceae",1
"Calymperaceae","Calymperaceae",1
"Rourea amazonica Huber","Connaraceae",1
"Calycorectes O.Berg","Myrtaceae",1
"Calycolpus goetheanus (Mart. ex DC.) O.Berg","Myrtaceae",1
"Calycobolus Willd. ex Schult.","Convolvulaceae",1
"Miconia dodecandra (Desr.) Cogn.","Melastomataceae",1
"Miconia dispar Benth.","Melastomataceae",1
"Elaphoglossum productum Rosenst.","Dryopteridaceae",1
"Trichomanes diversifrons (Bory) Mett.","Hymenophyllaceae",1
"Grammitis peritimundi L.E.Bishop & A.R.Sm.","Polypodiaceae",1
"Rourea neglecta var. brevipes Forero","Connaraceae",1
"Rourea puberula Baker","Connaraceae",1
"Miconia dichrophylla J.F.Macbr.","Melastomataceae",1
"Guatteria maypurensis Kunth","Annonaceae",1
"Calopogonium caeruleum (Benth.) C.Wright","Fabaceae",1
"Justicia filibracteolata Lindau","Acanthaceae",1
"Calophyllum pachyphyllum Planch. & Triana","Calophyllaceae",1
"Trichomanes heterophyllum Humb. & Bonpl. ex Willd.","Hymenophyllaceae",1
"Elaphoglossum strictum (Raddi) T.Moore","Dryopteridaceae",1
"Miconia compacta Gleason","Melastomataceae",1
"Rudgea crassipetiolata Zappi","Rubiaceae",1
"Alocasia macrorrhizos (L.) G.Don","Araceae",1
"Allophylus scrobiculatus (Poepp.) Radlk.","Sapindaceae",1
"Trichomanes hymenoides Hedw.","Hymenophyllaceae",1
"Callicostella mosenii Brotherus, 1907","Hookeriaceae",1
"Miconia ciliata (Rich.) DC.","Melastomataceae",1
"Miconia charadrophila (Tutin) Michelang.","Melastomataceae",1
"Rudgea japurensis Müll.Arg.","Rubiaceae",1
"Humiria balsamifera f. balsamifera","Humiriaceae",1
"Callicarpa acuminata Kunth","Lamiaceae",1
"Eleocharis filiculmis Kunth","Cyperaceae",1
"Miconia caquetensis (Gleason) Ocampo & Almeda","Melastomataceae",1
"Eleocharis mutata (L.) Roem. & Schult.","Cyperaceae",1
"Calliandra pittieri Standl.","Fabaceae",1
"Rudgea sclerocalyx (Müll.Arg.) Zappi","Rubiaceae",1
"Miconia capitellata Cogn.","Melastomataceae",1
"Trichomanes krausii Hook. & Grev.","Hymenophyllaceae",1
"Calliandra laxa var. stipulacea (Benth.) Barneby","Fabaceae",1
"Miconia cannabina Markgr.","Melastomataceae",1
"Adelobotrys latifolius Schulman","Melastomataceae",1
"Rudgea woronovii Standl.","Rubiaceae",1
"Miconia bullosa (DC.) Michelang.","Melastomataceae",1
"Ruellia blechum L.","Acanthaceae",1
"Eleocharis retroflexa (Poir.) Urb.","Cyperaceae",1
"Miconia bullatifolia Michelang.","Melastomataceae",1
"Allophylus punctatus (Poepp.) Radlk.","Sapindaceae",1
"Inga melinonis Sagot","Fabaceae",1
"Ruellia proxima Lindau","Acanthaceae",1
"Miconia brachygyna Gleason","Melastomataceae",1
"Elephantopus tomentosus L.","Asteraceae",1
"Ruellia tubiflora Kunth","Acanthaceae",1
"Rugoloa pilosa (Sw.) Zuloaga","Poaceae",1
"Miconia barbinervis (Benth.) Triana","Melastomataceae",1
"Calea L.","Asteraceae",1
"Ruizodendron R.E.Fr.","Annonaceae",1
"Calceolaria perfoliata L.fil.","Calceolariaceae",1
"Trichomanes martinezii Rovirosa","Hymenophyllaceae",1
"Galeandra macroplectra G.A.Romero & Warford","Orchidaceae",1
"Ruprechtia brachystachya Benth.","Polygonaceae",1
"Ruprechtia C.A.Mey.","Polygonaceae",1
"Calatola costaricensis Standl.","Metteniusaceae",1
"Ruptiliocarpon Hammel & N.Zamora","Lepidobotryaceae",1
"Rustia thibaudioides (H.Karst.) Delprete","Rubiaceae",1
"Eleusine indica (L.) Gaertn.","Poaceae",1
"Calatola columbiana Sleumer","Metteniusaceae",1
"Miconia argyrophylla DC.","Melastomataceae",1
"Allophylus loretensis Standl. ex J.F.Macbr.","Sapindaceae",1
"Trichomanes polypodioides L.","Hymenophyllaceae",1
"Ryania spruceana Monach.","Salicaceae",1
"Gonzalagunia rudis (Standl.) Standl.","Rubiaceae",1
"Eleutherine bulbosa (Mill.) Urb.","Iridaceae",1
"Miconia appendiculata Triana","Melastomataceae",1
"Calathea roseopicta (Linden ex Lem.) Regel","Marantaceae",1
"Miconia aponeura Triana","Melastomataceae",1
"Sabicea calophylla Aspl.","Rubiaceae",1
"Miconia ampla Triana","Melastomataceae",1
"Miconia allardii (Wurdack) Michelang.","Melastomataceae",1
"Elyonurus Humb. & Bonpl. ex Willd.","Poaceae",1
"Sabicea villosa var. sellowii (Wernham) Steyerm.","Rubiaceae",1
"Trichomanes punctatum subsp. sphenoides (Kunze) Wess.Boer","Hymenophyllaceae",1
"Humiria parviflora A.Juss.","Humiriaceae",1
"Allophylus divaricatus Radlk.","Sapindaceae",1
"Guatteria maguirei R.E.Fr.","Annonaceae",1
"Humiriastrum (Urb.) Cuatrec.","Humiriaceae",1
"Calathea neblinensis H.Kenn.","Marantaceae",1
"Calathea microcephala (Poepp. & Endl.) Körn.","Marantaceae",1
"Mezia Schwacke ex Engl. & Prantl","Malpighiaceae",1
"Alismataceae","Alismataceae",1
"Calathea lutea (Aubl.) E.Mey. ex Schult.","Marantaceae",1
"Justicia brandegeeana Wassh. & L.B.Sm.","Acanthaceae",1
"Sacoglottis perryi K.Wurdack & Zartman","Humiriaceae",1
"Humiriastrum colombianum (Cuatrec.) Cuatrec.","Humiriaceae",1
"Trichosalpinx Luer","Orchidaceae",1
"Alibertia verrucosa S.Moore","Rubiaceae",1
"Justicia blackii Leonard","Acanthaceae",1
"Salacia acevedoi Lombardi","Celastraceae",1
"Trichospira verticillata (L.) S.F.Blake","Asteraceae",1
"Emmotum glabrum Benth. ex Miers","Metteniusaceae",1
"Salacia cauliflora A.C.Sm.","Celastraceae",1
"Mezia includens (Benth.) Cuatrec.","Malpighiaceae",1
"Calathea enclitica J.F.Macbr.","Marantaceae",1
"Calathea crotalifera S.Watson","Marantaceae",1
"Metaxya parkeri (Hook. & Grev.) J.Sm.","Metaxyaceae",1
"Salacia juruana Loes.","Celastraceae",1
"Endlicheria acuminata Kosterm.","Lauraceae",1
"Mespilodaphne quixos (Lam.) Rohwer","Lauraceae",1
"Trichosteleum arrectum Jaeger, 1878","Sematophyllaceae",1
"Salacia multiflora subsp. multiflora","Celastraceae",1
"Salacia petenensis Lundell","Celastraceae",1
"Salacia ulei Loes.","Celastraceae",1
"Salacia viridiramis Lombardi","Celastraceae",1
"Endlicheria anomala Nees ex Meisn.","Lauraceae",1
"Salix chilensis Molina","Salicaceae",1
"Juruasia rotundata Lindau","Acanthaceae",1
"Mesechites bicorniculatus (Rusby) Woodson","Apocynaceae",1
"Merostachys Spreng.","Poaceae",1
"Cactaceae","Cactaceae",1
"Mentha L.","Lamiaceae",1
"Meniscium arborescens Humb. & Bonpl. ex Willd.","Thelypteridaceae",1
"Juanulloa Ruiz & Pav.","Solanaceae",1
"Humiriastrum cuspidatum (Benth.) Cuatrec.","Humiriaceae",1
"Mendoncia pilosa (Mart.) Nees","Acanthaceae",1
"Trigonidium acuminatum Bateman ex Lindl.","Orchidaceae",1
"Trigonidium Lindl.","Orchidaceae",1
"Alibertia stenantha Standl.","Rubiaceae",1
"Sanchezia lutea Leonard","Acanthaceae",1
"Mendoncia lasiophyta Leonard","Acanthaceae",1
"Inga loretana J.F.Macbr.","Fabaceae",1
"Sanchezia parviflora Leonard","Acanthaceae",1
"Sanchezia pennellii Leonard","Acanthaceae",1
"Mendoncia hirsuta Poepp. & Endl.","Acanthaceae",1
"Mendoncia coccinea Vell.","Acanthaceae",1
"Mendoncia aurea Leonard","Acanthaceae",1
"Trimezia coerulea (G.Lodd.) Ravenna","Iridaceae",1
"Sanchezia tarapotensis Leonard & L.B.Sm.","Acanthaceae",1
"Gossypium arboreum L.","Malvaceae",1
"Sanchezia tigrina Leonard","Acanthaceae",1
"Triolena hirsuta (Benth.) Triana","Melastomataceae",1
"Cabralea A.Juss.","Meliaceae",1
"Sapindus saponaria L.","Sapindaceae",1
"Memora sastrei A.H.Gentry & Hauk","Bignoniaceae",1
"Memora pseudopatula A.H.Gentry","Bignoniaceae",1
"Byttneria uaupensis Spruce ex K.Schum.","Malvaceae",1
"Byttneria stenophylla Cristóbal","Malvaceae",1
"Sapium jenmannii Hemsl.","Euphorbiaceae",1
"Vismia pozuzoensis Engl.","Hypericaceae",1
"Endlicheria dictifarinosa C.K.Allen","Lauraceae",1
"Melochia villosa (Mill.) Fawc. & Rendle","Malvaceae",1
"Byttneria attenuatifolia Cristóbal","Malvaceae",1
"Triolena Naudin","Melastomataceae",1
"Meliosma vasquezii A.H.Gentry","Sabiaceae",1
"Sarcopera anomala (Kunth) Bedell","Marcgraviaceae",1
"Meliosma tachirensis Steyerm. & A.H.Gentry","Sabiaceae",1
"Sarcopera Bedell","Marcgraviaceae",1
"Acacia huberi Ducke","Fabaceae",1
"Melicoccus bijugatus Jacq.","Sapindaceae",1
"Mayna parvifolia (J.F.Macbr.) Sleumer","Salicaceae",1
"Endlicheria lorastemon Chanderb.","Lauraceae",1
"Mayna grandiflora (Spruce ex Eichler) R.E.Schult.","Achariaceae",1
"Maximiliana maripa (Aubl.) Drude","Arecaceae",1
"Sauvagesia guianensis subsp. araracuarensis (Sastre) Steyerm.","Ochnaceae",1
"Maxillaria villosa (Barb.Rodr.) Cogn.","Orchidaceae",1
"Juanulloa ochracea Cuatrec.","Solanaceae",1
"Maxillaria tenuis C.Schweinf.","Orchidaceae",1
"Saxofridericia inermis Ducke","Rapateaceae",1
"Maxillaria subrepens (Rolfe) Schuit. & M.W.Chase","Orchidaceae",1
"Scaphyglottis prolifera (R.Br.) Cogn.","Orchidaceae",1
"Triphora Nutt.","Orchidaceae",1
"Alibertia duckeana Delprete & C.H.Perss.","Rubiaceae",1
"Scheelea attaleoides H.Karst.","Arecaceae",1
"Scheelea insignis (Mart.) H.Karst.","Arecaceae",1
"Triplaris dugandii Brandbyge","Polygonaceae",1
"Guatteria latipetala R.E.Fr.","Annonaceae",1
"Maxillaria speciosa Rchb.f.","Orchidaceae",1
"Maxillaria setigera Lindl.","Orchidaceae",1
"Schefflera morototoni (Aubl.) Maguire, Steyerm. & Frodin","Araliaceae",1
"Schefflera sprucei (Seem.) Harms","Araliaceae",1
"Schiekia orinocensis (Kunth) Meisn.","Haemodoraceae",1
"Gouania adenophora Pilg.","Rhamnaceae",1
"Schistostemon (Urb.) Cuatrec.","Humiriaceae",1
"Alibertia A.Rich., 1830","Rubiaceae",1
"Schistostemon oblongifolium (Benth.) Cuatrec.","Humiriaceae",1
"Alexa Moq.","Fabaceae",1
"Byrsonima stipulacea A.Juss.","Malpighiaceae",1
"Triplaris williamsii Rusby","Polygonaceae",1
"Maxillaria discolor (Lodd. ex Lindl.) Rchb.","Orchidaceae",1
"Schizaea germanii (Fée) Prantl","Schizaeaceae",1
"Joosia H.Karst.","Rubiaceae",1
"Schizaea sprucei Hook. ex Baker","Schizaeaceae",1
"Schizaea stricta Lellinger","Schizaeaceae",1
"Schizocalyx bracteosa Wedd.","Rubiaceae",1
"Schizophyllum Nutt.","Asteraceae",1
"Byrsonima macrostachya W.R.Anderson","Malpighiaceae",1
"Maxillaria aciantha Rchb.f.","Orchidaceae",1
"Mauritia L.f.","Arecaceae",1
"Schlegelia roseiflora Ducke","Schlegeliaceae",1
"Schlegelia spruceana K.Schum.","Schlegeliaceae",1
"Byrsonima japurensis subsp. silvatica Cuatrec.","Malpighiaceae",1
"Zygia basijuga (Ducke) Barneby & J.W.Grimes","Fabaceae",1
"Acacallis cyanea Lindl.","Orchidaceae",1
"Endlicheria robusta (A.C.Sm.) Kosterm.","Lauraceae",1
"Schoenobiblus Mart. & Zucc.","Thymelaeaceae",1
"Byrsonima fernandezii Cuatrec.","Malpighiaceae",1
"Schoenocephalium martianum Seub.","Rapateaceae",1
"Schomburghia DC.","Asteraceae",1
"Schomburgkia gloriosa Rchb.f.","Orchidaceae",1
"Schomburgkia Lindl.","Orchidaceae",1
"Endlicheria tessmannii O.Schmidt","Lauraceae",1
"Schultesianthus leucanthus (Donn.Sm.) Hunz.","Solanaceae",1
"Entadopsis polyphylla (Benth.) Britton","Fabaceae",1
"Schusterolejeunea inundata (Spruce) Grolle","Lejeuneaceae",1
"Schwenckia grandiflora Benth.","Solanaceae",1
"Sciadotenia brachypoda Diels","Menispermaceae",1
"Sciadotenia duckei Moldenke","Menispermaceae",1
"Enterolobium cyclocarpum (Jacq.) Griseb.","Fabaceae",1
"Sciadotenia ramiflora Eichler","Menispermaceae",1
"Enterolobium timbouva Mart.","Fabaceae",1
"Guatteria kuhlmannii R.E.Fr.","Annonaceae",1
"Byrsonima crassifolia (L.) Kunth","Malpighiaceae",1
"Scleria comosa (Nees) Steud.","Cyperaceae",1
"Scleria cyperina Kunth","Cyperaceae",1
"Triumfetta althaeoides Lam.","Malvaceae",1
"Scleria flagellum Griseb.","Cyperaceae",1
"Scleria huberi C.B.Clarke","Cyperaceae",1
"Scleria macrogyne C.B.Clarke","Cyperaceae",1
"Scleria macrophylla J.Presl & C.Presl","Cyperaceae",1
"Abarema macradenia (Pittier) Barneby & J.W.Grimes","Fabaceae",1
"Burmannia dasyantha Mart.","Burmanniaceae",1
"Scleria mitis P.J.Bergius","Cyperaceae",1
"Burdachia sphaerocarpa A.Juss.","Malpighiaceae",1
"Scleria parallella C.B.Clarke","Cyperaceae",1
"Enydra fluctuans Lour.","Asteraceae",1
"Enydra Lour.","Asteraceae",1
"Scleria vaginata Steud.","Cyperaceae",1
"Scleria verticillata Muhl. ex Willd.","Cyperaceae",1
"Burdachia prismatocarpa Mart. ex A.Juss.","Malpighiaceae",1
"Bunchosia Rich. ex Juss.","Malpighiaceae",1
"Matisia floccosa Fern.Alonso","Malvaceae",1
"Bulbostylis tenuifolia (Rudge) J.F.Macbr.","Cyperaceae",1
"Matisia calimana Cuatrec.","Malvaceae",1
"Aldina latifolia Spruce ex Benth.","Fabaceae",1
"Scutellaria agrestis A.St.-Hil. ex Benth.","Lamiaceae",1
"Bulbostylis juncoides (Vahl) Kük. ex Osten","Cyperaceae",1
"Secondatia A.DC.","Apocynaceae",1
"Eperua Aubl.","Fabaceae",1
"Securidaca bialata Benth.","Polygalaceae",1
"Bulbostylis junciformis (Kunth) C.B.Clarke","Cyperaceae",1
"Matelea neblinae Morillo","Apocynaceae",1
"Triuridaceae","Triuridaceae",1
"Triuris hyalina Miers","Triuridaceae",1
"Matelea denticulata (M.Vahl) Fontella & Schwarz","Apocynaceae",1
"Trophis caucana (Pittier) C.C.Berg","Moraceae",1
"Securidaca rivinaefolia A.St.-Hil. & Moq.","Polygalaceae",1
"Guarea macrophylla subsp. pachycarpa (C.DC.) Penn.","Meliaceae",1
"Tropidia polystachya (Sw.) Ames","Orchidaceae",1
"Securinega congesta (Benth. ex Müll.Arg.) Müll.Arg.","Phyllanthaceae",1
"Seguieria aculeata Jacq.","Phytolaccaceae",1
"Bulbophyllum setigerum Lindl.","Orchidaceae",1
"Selaginella arthritica Alston","Selaginellaceae",1
"Albizia saman (Jacq.) F.Muell.","Fabaceae",1
"Turbina Raf.","Convolvulaceae",1
"Selaginella cladorrhizans A.Braun","Selaginellaceae",1
"Matelea dasytricha (Schltr.) Fontella","Apocynaceae",1
"Eperua leucantha Benth.","Fabaceae",1
"Buchenavia oxycarpa C.Mart. ex Eichler","Combretaceae",1
"Hydrochorea marginata var. panurensis (Spruce ex Benth.) Barneby & J.W.Grimes","Fabaceae",1
"Jatropha podagrica Hook.","Euphorbiaceae",1
"Ephedranthus S.Moore","Annonaceae",1
"Matayba guianensis Aubl.","Sapindaceae",1
"Vismia lateriflora Ducke","Hypericaceae",1
"Albizia pedicellaris (DC.) L.Rico","Fabaceae",1
"Mascagnia subsericea Cuatrec.","Malpighiaceae",1
"Albizia Durazz.","Fabaceae",1
"Tynanthus gondotianus (Bureau ex Baill.) Bureau","Bignoniaceae",1
"Mascagnia ovatifolia (Kunth) Griseb.","Malpighiaceae",1
"Brunfelsia chiricaspi Plowman","Solanaceae",1
"Mascagnia glandulifera Cuatrec.","Malpighiaceae",1
"Mascagnia divaricata (Kunth) Nied.","Malpighiaceae",1
"Selaginella schultesii Alston ex Crabbe & Jermy","Selaginellaceae",1
"Mascagnia arenicola C.E.Anderson","Malpighiaceae",1
"Hydrocotyle leucocephala Cham. & Schltdl.","Araliaceae",1
"Brownea similis R.S.Cowan","Fabaceae",1
"Selenicereus wittii (Schum.) G.D.Rowley","Cactaceae",1
"Martinella iquitoensis A.Samp.","Bignoniaceae",1
"Semaphyllanthe megistocaula (K.Krause) L.Andersson","Rubiaceae",1
"Sematophyllaceae","Sematophyllaceae",1
"Albertia W.P.Schimper, 1837",NULL,1
"Martinella Baill.","Bignoniaceae",1
"Epidendrum huebneri Schltr.","Orchidaceae",1
"Uleiorchis Hoehne","Orchidaceae",1
"Epidendrum longirepens (C.Schweinf.) C.Schweinf.","Orchidaceae",1
"Senefeldera karsteniana Pax & K.Hoffm.","Euphorbiaceae",1
"Xylosma spiculiferum (Tul.) Triana & Planch.","Salicaceae",1
"Jatropha multifida L.","Euphorbiaceae",1
"Senefeldera verticillata (Vell.) Croizat","Euphorbiaceae",1
"Browallia L.","Solanaceae",1
"Aiouea impressa (Meisn.) Kosterm.","Lauraceae",1
"Senegalia huberi (Ducke) Seigler & Ebinger","Fabaceae",1
"Adelobotrys subsessilis Gleason","Melastomataceae",1
"Jatropha gossypiifolia var. gossypiifolia","Euphorbiaceae",1
"Senegalia riparia (Kunth) Britton & Rose","Fabaceae",1
"Epidendrum minus (Cogn.) Hágsater","Orchidaceae",1
"Markea formicarum Dammer","Solanaceae",1
"Jasminum sambac (L.) Aiton","Oleaceae",1
"Senna fruticosa (Mill.) H.S.Irwin & Barneby","Fabaceae",1
"Maripa scandens Aubl.","Convolvulaceae",1
"Maripa rugosa Ducke","Convolvulaceae",1
"Abuta splendida Krukoff & Moldenke","Menispermaceae",1
"Uncinia hamata (Sw.) Urb.","Cyperaceae",1
"Epidendrum myrmecophorum Barb.Rodr.","Orchidaceae",1
"Unonopsis buchtienii R.E.Fr.","Annonaceae",1
"Epidendrum paniculatum Ruiz & Pav.","Orchidaceae",1
"Senna occidentalis (L.) Link","Fabaceae",1
"Senna pendula var. tenuifolia (Benth.) H.S.Irwin & Barneby","Fabaceae",1
"Senna racemosa (Mill.) H.S.Irwin & Barneby","Fabaceae",1
"Aiouea grandifolia van der Werff","Lauraceae",1
"Senna ruiziana var. ruiziana","Fabaceae",1
"Maripa glabra Choisy","Convolvulaceae",1
"Senna silvestris subsp. silvestris","Fabaceae",1
"Maripa elongata Ducke","Convolvulaceae",1
"Epidendrum schlechterianum Ames","Orchidaceae",1
"Septotheca tessmannii Ulbr.","Malvaceae",1
"Serjania communis Cambess.","Sapindaceae",1
"Epidendrum schomburgkii Lindl.","Orchidaceae",1
"Serjania inscripta Radlk.","Sapindaceae",1
"Aiouea Aubl.","Lauraceae",1
"Bronwenia wurdackii (B.Gates) W.R.Anderson & C.Davis","Malpighiaceae",1
"Serjania oblongifolia Radlk.","Sapindaceae",1
"Serjania pyramidata Radlk.","Sapindaceae",1
"Serjania trachygona Radlk.","Sapindaceae",1
"Serpocaulon A.R.Sm.","Polypodiaceae",1
"Agouticarpa williamsii (Standl.) C.H.Perss.","Rubiaceae",1
"Bromelia balansae Mez","Bromeliaceae",1
"Marila Sw.","Calophyllaceae",1
"Serpocaulon levigatum (Cav.) A.R.Sm.","Polypodiaceae",1
"Serpocaulon loriceum (L.) A.R.Sm.","Polypodiaceae",1
"Serpocaulon loriciforme (Rosenst.) A.R.Sm.","Polypodiaceae",1
"Serpocaulon richardii (Klotzsch) A.R.Sm.","Polypodiaceae",1
"Margaritopsis podocephala (Müll.Arg.) C.M.Taylor","Rubiaceae",1
"Sesamum indicum L.","Pedaliaceae",1
"Unonopsis matthewsii (Benth.) R.E.Fr.","Annonaceae",1
"Epistephium cardonae Szlach. & Kolan.","Orchidaceae",1
"Xyridaceae","Xyridaceae",1
"Marcgravia strenua J.F.Macbr.","Marcgraviaceae",1
"SH0934917.09FU","Moraceae",1
"SH0934920.09FU","Moraceae",1
"SH0934923.09FU","Moraceae",1
"Jasminum grandiflorum L.","Oleaceae",1
"Marcgravia parviflora Rich. ex Wittm.","Marcgraviaceae",1
"SH0934939.09FU","Moraceae",1
"SH0934948.09FU","Moraceae",1
"SH0934950.09FU","Moraceae",1
"Marcgravia macrophylla (Wittm.) Gilg","Marcgraviaceae",1
"Bredemeyera floribunda Willd.","Polygalaceae",1
"Vismia guianensis subsp. persicoides Ewan","Hypericaceae",1
"Epistephium hernandii Garay","Orchidaceae",1
"Marcgravia eichleriana Wittm.","Marcgraviaceae",1
"Brachypterum scandens (Roxb.) Miq.","Fabaceae",1
"Marathrum Humb. & Bonpl.","Podostemaceae",1
"Agouticarpa C.H.Perss.","Rubiaceae",1
"Grias peruviana Miers","Lecythidaceae",1
"Eragrostis maypurensis (Kunth) Steud.","Poaceae",1
"Inga lallensis Spruce ex Benth.","Fabaceae",1
"Erato vulcanica (Klatt) H.Rob.","Asteraceae",1
"Maprounea guianensis var. guianensis","Euphorbiaceae",1
"Bothriospora Hook.f.","Rubiaceae",1
"Xyris arachnoidea Maguire & L.B.Sm.","Xyridaceae",1
"Urera aurantiaca Wedd.","Urticaceae",1
"SH1059332.09FU","Orobanchaceae",1
"Ericaceae","Ericaceae",1
"Borreria prostrata (Aubl.) Miq.","Rubiaceae",1
"SH1111612.09FU","Chlamydomonadaceae",1
"Mapouria triadica Müll.Arg.","Rubiaceae",1
"Borreria laevis (Lam.) Griseb.","Rubiaceae",1
"Xyris araracuarae Maguire & L.B.Sm.","Xyridaceae",1
"Abuta panurensis Eichler","Menispermaceae",1
"Urera baccifera (L.) Gaudich.","Urticaceae",1
"SH1119689.09FU","Selaginellaceae",1
"Mansoa DC.","Bignoniaceae",1
"SH1145183.09FU","Fabaceae",1
"Ageratum conyzoides L.","Asteraceae",1
"Manilkara zapota (L.) P.Royen","Sapotaceae",1
"SH1162168.09FU","Dicranaceae",1
"Borojoa sorbilis (Huber ex Ducke) Cuatrec.","Rubiaceae",1
"Urera capitata Wedd.","Urticaceae",1
"Aganisia rosariana (V.P.Castro & J.B.F.Silva) F.Barros & L.R.S.Guim.","Orchidaceae",1
"Eriope crassipes Benth.","Lamiaceae",1
"SH1189719.09FU","Dicranaceae",1
"Jaegeria hirta (Lag.) Less.","Asteraceae",1
"Jacquemontia tamnifolia (L.) Griseb.","Convolvulaceae",1
"Hyptis capitata Jacq.","Lamiaceae",1
"SH1207033.09FU","Malpighiaceae",1
"Manihot utilissima Pohl","Euphorbiaceae",1
"Urospatha angustiloba Engl.","Araceae",1
"SH1207062.09FU","Malpighiaceae",1
"SH1207063.09FU","Malpighiaceae",1
"Manihot esculenta subsp. esculenta","Euphorbiaceae",1
"Erisma bracteosum Ducke","Vochysiaceae",1
"Bognera recondita (Madison) Mayo & Nicolson","Araceae",1
"Manettia sararensis Standl. ex Steyerm.","Rubiaceae",1
"Manettia Mutis ex L.","Rubiaceae",1
"Boehmeria Jacq.","Urticaceae",1
"Manettia glandulosa Poepp.","Rubiaceae",1
"Blepharodon ulei Schltr.","Apocynaceae",1
"Blepharodon pictum (Vahl) W.D.Stevens","Apocynaceae",1
"Aganisia Lindl.","Orchidaceae",1
"Manettia divaricata Wernham","Rubiaceae",1
"Blechnum L.","Blechnaceae",1
"Blechnaceae","Blechnaceae",1
"Mandevilla speciosa (Kunth) J.F.Morales","Apocynaceae",1
"Mandevilla scabra (Hoffm. ex Roem. & Schult.) Schum.","Apocynaceae",1
"Hygrophila costata Nees","Acanthaceae",1
"Erycina glossomystax (Rchb.f.) N.H.Williams & M.W.Chase","Orchidaceae",1
"Vismia glabra Ruiz & Pav.","Hypericaceae",1
"Mandevilla arcuata A.H.Gentry","Apocynaceae",1
"SH1270014.09FU","Fabaceae",1
"Blakea P.Browne","Melastomataceae",1
"Aeschynomene sensitiva var. amazonica Rudd","Fabaceae",1
"SH1287922.09FU","Trentepohliaceae",1
"Mandevilla allorgei J.F.Morales","Apocynaceae",1
"Malvaviscus penduliflorus Moc. & Sessé ex DC.","Malvaceae",1
"Utricularia amethystina Salzm. ex A.St.-Hil. & Girard","Lentibulariaceae",1
"Malvaviscus Fabr.","Malvaceae",1
"Bixa platycarpa Ruiz & Pav. ex G.Don","Bixaceae",1
"Biophytum dormiens (Mart. ex Zucc.) R.Knuth","Oxalidaceae",1
"SH1329991.09FU","Calypogeiaceae",1
"Sicydium diffusum Cogn.","Cucurbitaceae",1
"Sida acuta Burm.fil.","Malvaceae",1
"Sida glomerata Cav.","Malvaceae",1
"Xyris jupicai Rich.","Xyridaceae",1
"Biophytum calophyllum (Progel) Guillaumin","Oxalidaceae",1
"Aeschynomene sensitiva Sw.","Fabaceae",1
"Malvaviscus concinnus Kunth","Malvaceae",1
"Biophytum amazonicum Knuth","Oxalidaceae",1
"Simaba multiflora A.Juss.","Simaroubaceae",1
"Erycina pumilio (Rchb.f.) N.H.Williams & M.W.Chase","Orchidaceae",1
"Billbergia formosa Ule","Bromeliaceae",1
"Erycina pusilla (L.) N.H.Williams & M.W.Chase","Orchidaceae",1
"Simarouba Aubl.","Simaroubaceae",1
"Bignonia prieurei DC.","Bignoniaceae",1
"Utricularia hispida Lam.","Lentibulariaceae",1
"Malpighia glabra L.","Malpighiaceae",1
"Simira erythroxylon (Willd.) Bremek.","Rubiaceae",1
"Malpighia emarginata DC.","Malpighiaceae",1
"Simira wurdackii Steyerm.","Rubiaceae",1
"Erythrina amazonica Krukoff","Fabaceae",1
"Malouetia duckei Markgr.","Apocynaceae",1
"Xyris laxifolia Mart.","Xyridaceae",1
"Sipanea pratensis Aubl.","Rubiaceae",1
"Abolboda pulchella Bonpl.","Xyridaceae",1
"Sipaneopsis Steyerm.","Rubiaceae",1
"Aechmea williamsii (L.B.Sm.) L.B.Sm. & M.A.Spencer","Bromeliaceae",1
"Bidens pilosa L.","Asteraceae",1
"Bia fallax (Müll.Arg.) G.L.Webster","Euphorbiaceae",1
"Besleria solanoides Kunth","Gesneriaceae",1
"Besleria saxicola C.V.Morton","Gesneriaceae",1
"Jacaratia spinosa (Aubl.) A.DC.","Caricaceae",1
"Malouetia bubalina M.E.Endress","Apocynaceae",1
"Besleria leucostoma (Hook.) Hanst.","Gesneriaceae",1
"Garcinia fluviatilis Mouzinho & L.Marinho","Clusiaceae",1
"Erythrina rubrinervia Kunth","Fabaceae",1
"Aeschynomene ciliata Vogel","Fabaceae",1
"Inga japurensis T.D.Penn.","Fabaceae",1
"Jacaranda glabra (A.DC.) Bureau & Schumann","Bignoniaceae",1
"Bellucia arborescens (Aubl.) Baill.","Melastomataceae",1
"Vanilla fimbriata Rolfe","Orchidaceae",1
"Adelobotrys tessmannii Markgr.","Melastomataceae",1
"Xyris mima L.B.Sm. & Downs","Xyridaceae",1
"Siphanthera Pohl","Melastomataceae",1
"Siphanthera subtilis Pohl ex DC.","Melastomataceae",1
"Siphanthera vaupesana Wurdack","Melastomataceae",1
"Malmea dielsiana R.E.Fr.","Annonaceae",1
