"locality","decimallat","decimallon","rec_gbif","species"
"Kilometro 11 hacia Om Shanti",-4.116626,-69.953575,42,21
"Puerto-Lagos Yahurcaca Leticia, Amazonas, CO (-4,216, -69,945)",-4.215798,-69.945465,42,42
"Reserva Natura Park",-3.849143,-70.21949,42,42
"Cañon casa del Tapir",-4.061667,-69.93611,42,42
"Reserva Natural Tanimboca",-4.119273,-69.95101,42,42
"Isla joven entre Ronda y Sta Rosa",-4.17332,-69.98846,42,42
"Reserva Natural Magüta",-4.069869,-69.99982,42,42
"Km 17, Comunidad Bora-Muiname. 28 sept. 2019 19:53--4.215, -69.942",-4.215066,-69.94248,42,42
"Quebrada Sabaleta",-3.942253,-69.94564,42,42
"Comunidad indígena Monilla Amena",-4.105619,-69.97108,41,38
"Amazonas Department, CO (-3.789, -70.344)",-3.788727,-70.34416,41,39
"Yeegune casa encantada",-3.713611,-70.138336,41,41
"Aeropuerto Vázquez Cobo",-4.196518,-69.94277,41,41
"Reserva Natural Victoria Regia",-4.182008,-69.976654,41,41
"Parque Nacional Natural Amacayacu",-3.003556,-70.014389,41,41
"Yaure Lodge",-3.779247,-70.36113,40,8
"Trocha Km_17 Comunidad Muinane (Casas_Gori)",-4.058475,-69.982346,40,8
"Quebrada Yahuarcaca",-4.160802,-69.96609,40,10
"Borde Isla Mocagua",-3.869806,-70.25178,40,20
"Playa Aguas Bajas La Playa",-4.197345,-69.964035,40,20
"# 7-68 Carrera 12, Leticia, Amazonas, CO (-4.216, -69.945)",-4.21631,-69.94515,40,20
"Via Zafire",-3.981619,-69.89132,40,27
"Leticia pueblo",-4.213543,-69.9419,40,31
"Pedrera vía Caparu",-1.30028,-69.5639,40,40
"Km 22",-4.017185,-69.90864,40,40
NULL,-3.788854,-70.355643,40,40
"Tarapoto-Rio Amazonas",-3.791404,-70.433754,40,40
"San Pedro de los Lagos",-4.129425,-69.9651,40,40
"Río Igará-Paraná, 50 km arriba de la Chorrera",-1.252903,-72.912764,39,34
"Unnamed Road, Amazonas, CO (-4,145, -69,94)",-4.144532,-69.939865,39,39
"Lago Tarapoto - (-3,784, -70,365)",-3.78391,-70.36525,39,39
"Kilometro 17 Comunidad BORA Road, Amazonas, CO (-4.085, -69.994)",-4.084572,-69.9943,39,39
"Ciudad Pérdida/ Puerto Santander, Amazonas",-0.63,-72.4173,38,17
"Isla pajaros - (-2,891, -69,738)",-2.891267,-69.738396,38,19
"Reserva Natural ACAPU Km 14",-4.108958,-69.96796,38,19
"Río Amacayacu, Amazonas, CO (-3,79, -70,307)",-3.790152,-70.3069,38,24
"Yoi Eco Lodge",-3.751492,-70.30531,38,31
"-4,202x-69,94 - 13/05/2017 3:56 PM",-4.202367,-69.94007,38,38
"Antiguo Club Amazonas, Leticia Amazonas.",-4.199143,-69.93836,38,38
"Km 14",-4.099248,-69.98628,38,38
"Quebrada Pichuna, Vía Nazareth, Amazonas",-4.090444,-70.01293,38,38
"Below Mocagua village",-3.826773,-70.24893,38,38
"Puente Cuco, Leticia, Amazonas, CO",-4.216916,-69.93807,37,20
"Rio Amazonas, Leticia",-4.194181,-69.964096,37,37
"(-4,1808,-69,9786)",-4.180809,-69.978584,37,37
"Puerto Santander.",-0.621736,-72.38711,37,37
"Vereda la Milagrosa, Leticia Amazonas.",-4.182216,-69.97624,37,37
"Km 17",-4.058528,-69.99427,37,37
"Alameda Biblioteca Banco República",-4.21404,-69.94365,37,37
"Amazonas, CO (-4.175, -69.989)",-4.174632,-69.988716,37,37
"Lago Zapatero",-4.175964,-69.96403,36,12
"Q. Bacaba_arriba rastrojo Panduro",-3.805549,-70.255394,36,12
"Sendero La Beatriz",-4.131624,-69.99391,36,12
"IANE Barrio",-4.209644,-69.93397,36,18
"k7 Hitoma",-4.141783,-69.92559,36,18
"la pedrera",-1.319359,-69.58384,36,18
"Sendero Angosturas - Río Caquetá, Amazonas",-0.645917,-72.66597,36,18
"Agua Blanca",-3.735363,-70.31469,36,18
"Reserva Forestal del Río Calderón, Estación Biológica El Zafire",-4.003056,-69.9075,36,20
"Barrio Ciudad Nueva",-4.196166,-69.93236,36,26
"Sendero Reforestación Corto, San Martín de Amacayacu, Amazonas, CO (-3,776, -70,3)",-3.776229,-70.29992,36,30
"Malecón - Leticia, Amazonas, CO (-4,213, -69,946)",-4.212713,-69.94571,36,36
"Village at Estancia La Guerrera of Leticia Colombia",-4.099287,-69.9389,36,36
"7-49 Carrera 10, Leticia, Amazonas, CO (-4.216, -69.942)",-4.21617,-69.94167,36,36
"Reserva Acapú -Amazonas, CO (-4.103, -69.975)",-4.102976,-69.97466,36,36
"Trocha Km_17 Comunidad Muinane (desvío Casa Gori)",-4.072492,-69.98281,35,6
"Banco De Arena- Amazonas, CO",-3.798886,-70.35071,35,7
"se.ndero panguana_monte - (-2,888, -69,746)",-2.888111,-69.745636,35,18
"Hotel Decameron, Decalodge Ticuna",-4.217885,-69.942474,35,21
"leticia y Pto nariño",-4.217891,-69.94256,35,35
"Tabatinga outskirts",-4.187479,-69.924416,35,35
"Parque Nacional Natural Amacayacu",-3.001444,-70.006222,35,35
"Leticia - KM 11 to Rio Tacana",-4.11316,-69.94459,35,35
"(-4.2102,-69.9536)",-4.210176,-69.95359,35,35
"Amazonas, CO (-4,139, -70,014)",-4.138917,-70.01389,35,35
"Colegio Camilo Torres - Los Lagos",-4.168228,-69.96034,35,35
"humedal entrada a san miguel",-4.179654,-69.936424,34,16
"Chagras_Rastrojos Mocagua",-3.823445,-70.25066,34,16
"Amazonas--12 de Octubre",-3.735738,-70.50343,34,17
"El Correo",-3.775303,-70.388245,34,17
"Reserva Forestal del Río Calderón, Estacion Biologica El Zafire",-4.003611,-69.8925,34,18
"Río Tacana camino Calderón",-4.043998,-69.98845,34,29
"Bocas Matamata-Río Amazonas",-3.82071,-70.26093,34,29
"Fundacion Maikuchiga Mocagua -3.816x-70.25 - 13 Jan 2017 10:33 am",-3.816476,-70.25031,34,34
"IR28_Isla-de-río_Putumayo",-2.36766,-72.0019,34,34
"Canal sin nombre Leticia",-4.206884,-69.94248,34,34
"Hotel On Vacation Amazon",-4.132186,-70.017,34,34
"ANM El Encanto",-1.747306,-73.20915,34,34
"Mocagua",-3.828415,-70.24154,33,17
"Reserva Forestal del río Calderón, Estación Biológica El Zafire",-4.005833,-69.898611,33,18
NULL,-3.788867,-70.355642,33,27
"Sendero de Selva - Tanimboca",-4.123947,-69.94543,33,33
"Comunidad Bora - Buinane, Leticia Amazonas.",-4.080446,-69.99728,33,33
"B. Inundable salida Yahuarcaca",-4.203931,-69.94963,33,33
"(-4,1329,-69,9848)",-4.132937,-69.98485,33,33
"(-3.7969,-70.4548) Laguna Tarapoto",-3.796941,-70.45479,33,33
"Isla El zancudo Pto Nariño",-3.783966,-70.36855,33,33
"Bosque inundable sena-yahuarcaca",-4.193928,-69.94935,32,16
"Carretera Comunidad Multietnica km 11 - Km 21",-4.120166,-69.95032,32,32
"Monilla Mena",-4.125769,-69.92571,32,32
"Carretera Leticia - San Sebastian",-4.202599,-69.944664,32,32
"Sendero Km 21 - Maloca Pijachi",-4.055254,-69.9952,32,32
"Reserva Acapú-Jardines",-4.103225,-69.974976,32,32
"Largo Tarapoto",-3.808944,-70.42854,32,32
"Parque Santander, Leticia",-4.212868,-69.94269,31,29
"Estación de Primates - FIDIC",-4.217541,-69.94292,31,31
"Bosque inundable entrada C. la playa",-4.206276,-69.9481,31,31
"Caño Pichura, Amazonas",-4.162898,-69.97742,31,31
"Amazon River, Peru",-3.995412,-70.17131,31,31
"Isla Mocagua- Lago Huito",-3.840492,-70.25219,31,31
"Leticia (-4.2115,-69.9441)",-4.211514,-69.94409,30,10
"Lago Grande_Yahuarcaca",-4.183131,-69.964195,30,10
"Cabaña Lorena_Bocana Caño Muñeca",-3.079514,-70.04669,30,10
"Ecolodge Beatriz",-4.1325,-69.992905,30,10
"Vía principal_comunidad Mocagua",-3.825846,-70.25058,30,10
"Ruta Río Puré_Lago Carrasquilla (PNN Río Puré)",-2.12265,-69.56784,30,15
"lagos entrando por la bocatoma",-4.190796,-69.95417,30,15
"Interior de bosque Reserva Acapú",-4.106328,-69.97942,30,15
"Cabaña Lorena_Sector Norte_PNN Amacayacu",-3.0455,-69.9945,30,19
"Sin datos.",-3.866111,-70.496111,30,24
"(-3.8216,-70.2499) Salida a la Plataforma",-3.821564,-70.24988,30,30
"Inicio camino a La Playa",-4.207817,-69.951164,30,30
"C.I Mocagua - Rio Amazonas - Puerto Nariño -Río Lopoto",-3.769367,-70.40811,30,30
"Comunidad indígena Mocagua",-3.823149,-70.255424,30,30
"Lago Victoria Regia",-3.78012,-70.37963,30,30
"Leticia: Natura Park (Río Amazonas)",-3.849253,-70.219826,30,30
"sendero panguana_basurero, Tarapaca, Amazonas, CO (-2,889, -69,744)",-2.889296,-69.74375,29,20
"Sector_Matamatá (atrás cabaña)",-3.819178,-70.26182,29,22
"COLOMBIA: Amazonas; Leticia to Km 17",-4.08677,-69.99288,29,29
"Puerto Nariño",-3.782346,-70.36411,29,29
"Chagras_Rastrojos Mocagua",-3.821893,-70.25131,29,29
"Quebrada Pichuna",-4.125122,-70.00696,29,29
"Alameda Fronteriza Barrio Colombia",-4.219623,-69.93412,29,29
"Isla de la fantasía",-4.215354,-69.94673,29,29
"Km 19",-4.06513,-69.99943,29,29
"Rio Amazonas--Leticia to Isla de los Micos (Monkey Island)",-4.098007,-70.050545,29,29
"Sendero Maloca Pijachi - Maloca Nejedeka",-4.057451,-69.980095,29,29
"(-3.7886,-70.3968) Caño Laguna Tarapoto",-3.788647,-70.3968,29,29
"Sendero Maloca Nejedeka - Maloca Sergio",-4.06376,-69.97945,29,29
"Río Cotuhé hasta Furo Q. Pupuña",-3.039855,-70.00854,28,14
"Comunidad indígena Amename - resguardo Monochoa",-0.697534,-72.547676,28,14
"Sendero Cananguchal_Lorena (PNN Amacayacu)",-3.048539,-69.99168,28,14
"Cra 8 N°7-83",-4.215234,-69.9396,28,14
"Boat to Rio Javari",-4.223931,-69.945915,28,14
"Km 11. Comunidad 11",-4.11839,-69.94379,28,14
"(-3.8659,-70.2301) Isla Mocagua - Laguna Huito - Camino",-3.865907,-70.230125,28,14
"Lago Resaca - Isla Mocagua",-3.841056,-70.25447,28,14
"Unnamed Road, Tarapaca, Amazonas, CO (-2,891, -69,743)",-2.890792,-69.742935,28,14
"Amazonas, CO (-0.626, -72.406)",-0.626296,-72.40556,28,23
"Leticia",-4.212445,-69.938805,28,28
"Maloca Nejedeka",-4.063702,-69.97925,28,28
"Amazonas, CO (-4.04, -70.015)Amazon Eden",-4.040358,-70.01458,28,28
"Varzea Forest Lago El Correo",-3.79776,-70.40339,28,28
"From 10 km NNW of Laguna Pexiboy to 53 km SW of Tarapacá",-2.9114,-69.9304,28,28
"Amazonas, CO (-3.775, -70.375)",-3.774522,-70.37505,28,28
"Isla RONDA Banco de arena",-4.175977,-69.98566,28,28
"El Caimo, sendero Bosque Restinga",-4.072722,-69.93217,27,9
"Km 11. Entrada comunidad Casillanaira",-4.083475,-69.93808,27,9
"Leticia casco urbano",-4.21054,-69.94444,27,14
"Amazonas, CO (-0,709, -72,585)",-0.708682,-72.585014,27,14
"Isla banco de arena 2019",-3.79972,-70.37058,27,17
"Santa Sophia",-3.982119,-70.14818,27,18
"Humedal IANE",-4.208559,-69.93202,27,20
"Unnamed Road, Tarapaca, Amazonas, CO (-2.893, -69.742)",-2.892837,-69.74219,27,24
"La Pedrera zona urbana",-1.316849,-69.58714,27,27
"SB-917 INFF",-3.846003,-70.55747,27,27
"CO-Amazonas-Leticia (-4.1907,-69.9496)",-4.190695,-69.94961,27,27
"COLOMBIA: Amazonas: Isla de Santa Sofía II to Pto. Nariño",-3.874766,-70.21295,27,27
"La Pedrera Angostura",-1.292173,-69.63664,27,27
"Rio Tanama",-4.09609,-69.937096,27,27
"North of Leticia",-4.176296,-69.94118,27,27
"974 Calle 14, Leticia, Amazonas, CO (-4.208, -69.943)",-4.208085,-69.94288,27,27
"Malecón_Puerto de Leticia",-4.212876,-69.94562,26,13
"Yahuarcaca-Camilo Torres",-4.167541,-69.96168,26,13
"Sendero Cabaña_Salado (PNN Río Puré)",-2.138534,-69.581635,26,13
"Caño Peasú-Puerto Nariño",-3.270272,-70.18822,26,13
"Lagos de Yahuarcaca",-4.193714,-69.954808,26,14
"Hotel Amazon, Amazonas, CO (-4,134, -70,017)",-4.134089,-70.01727,26,23
"Nature Reserve Tupana Arü Ü",-3.945754,-70.15391,26,24
"Aeródromo De La Pedrera",-1.329726,-69.5786,26,26
"Amazonas, CO (-3.784, -70.362)",-3.784164,-70.362206,26,26
"Km 7 Leticia",-4.138329,-69.924995,26,26
"leticia",-4.18544,-69.97325,26,26
"(-3.7812,-70.3669)",-3.781229,-70.36694,26,26
"(-3.7809,-70.3741)",-3.780875,-70.37406,26,26
"San Jose",-4.159649,-69.936165,26,26
"Trocha Km_17 Comunidad Muinane (Chagras_Gori)",-4.057456,-69.98232,25,5
"Caño Metá",-0.909033,-71.60317,25,9
"Cra 11 vía a muelle , Leticia, Amazonas, CO (-4,218, -69,942)",-4.218161,-69.94235,25,15
"Putumayo near Tarapacá",-2.882843,-69.7023,25,21
"CVY_PNN Amacayacu",-3.821528,-70.26063,25,22
"(-3,7803,-70,3711)",-3.780321,-70.37111,25,25
"Río Amazonas. Quebrada Mata - Mata. Camino los Churoqueros",-3.827474,-70.23804,25,25
"Mocagua (-3.8251,-70.2517)",-3.825071,-70.25171,25,25
"Yahuma",-4.029772,-70.142,25,25
"Reserva Natura Park",-3.849188,-70.22043,25,25
"Río Mirití Paraná",-0.742572,-71.1247,25,25
"Parque Nacional Cahuinarí, Colombia.",-1.372315,-71.163475,25,25
"Along the riverbank",-4.214199,-69.94958,25,25
"Amazonas, CO (-3,825, -70,252)",-3.825155,-70.25178,25,25
"vereda san jose",-4.13416,-70.01557,25,25
"Isla Fantasía_vía principal casas",-4.212612,-69.94751,24,6
"PNN Río Pure - Ruta Puerto Franco-Cabaña Salado",-2.138417,-69.581696,24,6
"Isla Ronda-Amazonas, CO",-4.171953,-69.98637,24,6
"Reserva Otra Parte (Km22.5)",-4.039952,-70.01275,24,8
"Pirañita Hostel",-4.21467,-69.9379,24,8
"Cárcel_Barrio Victoria Regia_Carrera 11, Leticia, Amazonas, CO (-4,211, -69,944)",-4.211174,-69.944176,24,9
"Ancianato, Leticia, Amazonas, CO (-4,217, -69,94)",-4.217033,-69.94022,24,12
"Caño Monochoa - Campamento",-0.770336,-72.54163,24,12
"CO-Amazonas-Leticia - -4.042x-70.009 - may. 14, 2016 7:34 PM",-4.042399,-70.00912,24,12
"via maloca del diablo",-4.093718,-69.941635,24,12
"Amazonas, CO (-4,159, -69,93)",-4.159084,-69.929955,24,12
"La pedrera , Amazonas",-1.322673,-69.57899,24,16
"Amazonas--San Juan de Soco",-3.741985,-70.45492,24,17
"Caño del Sol",-1.054995,-71.377396,24,18
"Isla de Santa Sofia Ii, 20 mi NW Leticia",-4.033333,-70.133333,24,22
"Camino Kms-Comunidad de Ronda",-4.110864,-69.97111,24,24
"Malecón",-4.211788,-69.94607,24,24
"CRA 6 con CLL 7",-4.216569,-69.93714,24,24
"Inicio camino Sabaleta-Calderón",-3.942227,-69.94537,24,24
"Leticia",-4.178649,-69.93536,24,24
"Reserva Acapú-Ronda",-4.10703,-69.9812,24,24
"Puerto Nariño",-3.784085,-70.36386,24,24
"San Sebastián de los Lagos, Leticia, Amazonas",-4.170588,-69.95549,24,24
"COLOMBIA: Amazonias; Km 6, N of Leticia",-4.140104,-69.93409,24,24
"C.I Mocagua - C.I San Martín de Amacayacu",-3.793436,-70.30714,24,24
"Sendero Pava, San Martín de Amacayacu, Amazonas, CO (-3,78, -70,303)",-3.780429,-70.30252,24,24
"Mundo Amazónico",-4.145263,-69.92987,24,24
"Macedonia Indigenous Village",-3.917754,-70.18,24,24
"Kilómetro 4.5",-4.173015,-69.94247,24,24
"Amazon river from Leticia to San Martin",-4.039882,-70.114174,24,24
"Amazonas, CO (-3,827, -70,249)",-3.826729,-70.24902,24,24
"Leticia",-4.2185,-69.9408,24,24
"Área Urbana Recorrido1, Leticia,",-4.217025,-69.9391,24,24
"Leticia--Zuruma Hotel",-4.212151,-69.939735,23,10
"Pnn amacayacu",-3.819182,-70.26132,23,18
"PNN Amacaycau, Leticia, Amazonas",-3.8717,-70.15,23,21
"Bosque de Varzea, Mocagua Island, comunidad Mocagua, Leticia",-3.842378,-70.24525,23,23
"Km 13 via Leticia - Tarapacá",-4.103425,-69.97397,23,23
"Sendero Panguana_Tarapaca, Amazonas, CO (-2,891, -69,743)",-2.891045,-69.74298,23,23
"Calle 15, Leticia",-4.207344,-69.94672,23,23
"Amazonas, CO (-4.111, -69.971)km 13 Vía Comunidad Indígena de Ronda .",-4.111206,-69.97137,22,11
"Punta río Amazonas",-4.221584,-69.94535,22,22
"Lago Tarapoto",-3.800512,-70.41556,22,22
"Corregimiento de Tarapacá, Amazonas",-2.89272,-69.740204,22,22
"Amazonas, CO (-3,803, -70,319)",-3.80303,-70.31852,22,22
"Pedrera",-1.325279,-69.58131,22,22
"Puente Peatonal Malecón de Leticia",-4.213496,-69.94545,22,22
"Q. Yahuarcaca",-4.168636,-69.96173,21,7
"Muelle, Leticia, Amazonas,",-4.215869,-69.945045,21,15
"Amazon River Puerto Nariño",-3.800351,-70.336105,21,17
NULL,-3.788679,-70.355707,21,18
"COLOMBIA: Amazonas: adjacent to Quebrada Tucuchira",-4.016275,-70.11157,21,19
"Leticia, Leticia, Amazonas",-4.2173,-69.9337,21,20
"Anm la pedrera",-1.327067,-69.58031,21,21
"(-4,0845,-69,9943)",-4.084529,-69.99427,21,21
"Unnamed Road, Amazonas, CO (-4.128, -69.953)",-4.127906,-69.952965,21,21
"CO-Amazonas-Narino Port (-3.8030,-70.4186)",-3.803,-70.418564,21,21
"Rio Amacayacu upstream Yoi Ecolodge",-3.744769,-70.31029,21,21
"CO-Amazonas (-3,8061,-70,3073)Puente Madera PN Amacayacu",-3.806092,-70.30733,21,21
"Flor de loto-Puerto Colombia",-4.185921,-69.97481,21,21
"Letitia, Colombia",-4.216484,-69.94802,21,21
"Leticia, Amazonas, CO (-4,219, -69,948)",-4.218676,-69.948006,21,21
"(-3.7784,-70.3757)",-3.778376,-70.37567,21,21
"Hotel Decameron Ticuna",-4.210698,-69.938805,20,5
"Río Amazonas . 2019 10:21 a. m.--3.999, -70.149",-3.999088,-70.1494,20,5
"Lago Pupunari_Comunidad Mocagua",-3.822604,-70.25466,20,10
"Km 16 ""Habitat Sur""",-4.17136,-69.95638,20,10
"Comunidad San Antonio, Limite con Fuerte Amazonas",-4.140368,-69.96851,20,10
"Sendero Isla pajaros_poblado - (-2,892, -69,742)",-2.89182,-69.74195,20,10
"Puerto Narino",-3.7825,-70.36509,20,10
"Comunidad de Mocagua",-3.840174,-70.225655,20,10
"Sendero Calanoa - Matamatá",-3.839093,-70.22914,20,10
"Malecón al frente isla de la fantasía",-4.216277,-69.945305,20,10
"Amazonas--Villa Andrea",-3.745266,-70.436935,20,16
"Comunidad indígena Monilla Amena, Amazonas",-4.167094,-69.938835,20,19
"Río Amazonas",-4.224467,-69.94656,20,20
"Rio amazonas - Q. Mata-Mata-Camino San Martin de Amacayacu",-3.444319,-70.144394,20,20
"Amazonas, CO (-4.084, -69.967)",-4.083514,-69.96747,20,20
"(-3.8052,-70.2211) Quebrada Matamata",-3.805212,-70.22107,20,20
"entrance to Laguna Tarapoto",-3.793914,-70.40052,20,20
"(-3.8225,-70.2546) Restaurante Payawaru",-3.822465,-70.2546,20,20
"COLOMBIA: Amazonas; Isla Corea",-4.058625,-70.135345,20,20
"R. Amazon",-3.800593,-70.38997,20,20
"Carretera Km 0 - 11, Leticia Amazonas",-4.120152,-69.95011,20,20
"sept 18 viernes, pto nariño en lancha",-3.789208,-70.36469,20,20
"Camino al Calderón km11",-3.958863,-69.9466,20,20
"(-4.215, -69.943) Leticia amazonas",-4.214989,-69.94303,19,7
"Reserva Forestal del Río Calderón, Estacion Biologica El Zafire",-4.003056,-69.9075,19,12
"Isla Nueva Mocagua, orilla frente a Mocagua",-3.824524,-70.256,19,14
"Río Amacayacu_desembocadura",-3.80532,-70.306175,19,15
"Comunidad Mocagua_poblado",-3.823227,-70.255264,19,16
"Leticia (-4.2019, -69.9342)",-4.2019,-69.9342,19,18
"From 53 km SW of Tarapacá to 3 km SSE of the Cabaña Lorena guard station",-3.1111,-70.0693,19,19
"Amazonas, centro investigación universidad Nacional, S 04°00'177"" W 069°53'726""",-3.740028,-69.85035,19,19
"C.I Vista Alegre-D. Ramon Castilla-Caballo Cochabamba-Perú.",-3.812486,-70.3251,19,19
"On Vacation Amazon",-4.126985,-70.014854,19,19
"Muelle Malecón",-4.213048,-69.94546,19,19
"Isla Fantasía_Frente Malecón",-4.215133,-69.94648,18,6
"Barrio Iane y Costa Rica_Urbano Leticia",-4.208141,-69.93412,18,9
"Comunidad Mocagua",-3.82444,-70.25261,18,9
NULL,-4.053176,-70.118081,18,11
"8-80 Carrera 9, Leticia, Amazonas, CO",-4.21424,-69.9407,18,12
"Puerto río Amazonas I. Fantasia",-4.215379,-69.94989,18,15
"Camino Matamatá_CVY_PNN Amacayacu",-3.82014,-70.26098,18,16
"Fulano Hostel",-4.211146,-69.94003,18,16
"Cerro Yupati",-1.299139,-69.61303,18,18
"Bosque inundable Matamatá",-3.811222,-70.263596,18,18
"Resguardo Indigena Mocagua",-3.823474,-70.25503,18,18
"Carrera 12 8-14, Leticia CO-Amazonas (-4.2159,-69.9449)",-4.215868,-69.94486,18,18
"Posada Casa de las Palmas",-4.208919,-69.94456,18,18
"Amazonas, CO (-4.094, -70.019)",-4.094404,-70.018745,18,18
"Isla Nueva Mocagua, orilla suroriental",-3.82701,-70.25329,18,18
"Amazon River, Puerto Nariño CO-Amazonas (-3,7881,-70,3689) Isla Cacao",-3.788122,-70.36892,18,18
"COLOMBIA: Amazonas; Leticia--17 Km north",-4.076154,-69.99872,18,18
"exploración quebrada San Salvador II Zona",-3.846643,-70.55674,18,18
"sendero panguana _humedal- (-2,889, -69,745)",-2.888502,-69.74497,17,11
"Reserva Forestal del Río Calderón, Estacion Biologica El Zafire",-4.003611,-69.9075,17,12
NULL,-3.845195,-70.253258,17,16
"7-34 Carrera 11, Leticia, Amazonas, CO (-4.216, -69.942)",-4.216168,-69.9423,17,17
"2338 Avenida da Amizade, Amazonas, BR (-4.221, -69.936) En Moto A Tabatinga",-4.221347,-69.93587,17,17
"San Miguel Km3",-4.171372,-69.92748,17,17
"Centro visitantes - PNN Amacayacu",-3.80662,-70.303276,17,17
"sept 17 jueves leticia muy AM, luego rio pto nariño PM",-4.216106,-69.94243,17,17
"Amazonas Department, CO (-3.823, -70.252)",-3.823462,-70.25223,17,17
"(-4.139, -69.983) Comunidad Indígena""Ronda"" Leticia- Amazonas.",-4.138991,-69.983315,17,17
"Sendero Camungos",-3.818074,-70.2713,17,17
"Solar de doña Vilma, Leticia, Amazonas, CO",-4.216881,-69.93986,17,17
"Puente Victoria Regia Leticia",-4.212807,-69.94452,17,17
"Reserva Hábitat Sur (Domo hasta la Y)",-4.091299,-69.9826,16,4
"Comunidad Bora Muinane Km 17. Quebrada Tacana",-4.063376,-69.98317,16,8
"Hotel to park",-4.215507,-69.94179,16,8
"Trocha Km 11- Maloka",-4.093223,-69.94358,16,8
"Área experimental Sena",-4.196202,-69.94742,16,8
"(-4.2062,-69.9437)",-4.20616,-69.94369,16,8
"CO-Amazonas-Leticia-15590-15776 Carrera 10 - -4,201x-69,942",-4.20134,-69.94189,16,8
"Ruta Km11-Km17 Leticia",-4.085831,-69.99346,16,8
"Lagos de yahuarcaca, Leticia, Amazonas.",-4.194275,-69.95329,16,8
"Bocas río Amazonas - Río Loretoyacu",-3.783397,-70.36794,16,16
"Carretera Km 11 - Reserva Pichuna. Leticia Amazonas.",-4.087078,-70.01055,16,16
"leticia area",-4.203987,-69.94995,16,16
"Km 7",-4.148259,-69.93334,16,16
"(-3.78, -70.362) puerto Nariño amazonas.",-3.779837,-70.36197,16,16
"Sendero a Arara",-4.063089,-70.00236,16,16
"Km 14.5, borde de vía",-4.103799,-69.973465,16,16
"Leticia",-4.19538,-69.9428,16,16
"Comunidad Alto Cardozo, Resguardo Indígena Uitiboc, Tarapacá",-2.928189,-69.72362,16,16
"Amazonas, CO (-3.768, -70.302)",-3.768398,-70.30152,15,3
"Amazonas, CO (-3.797, -70.34)",-3.797265,-70.34003,15,3
"Caño el Zábalo",-1.25901,-71.025,15,5
"Hotel Malokamazonas",-4.21463,-69.936905,15,12
"PNN Amacayacu, isla Mocagua al NW de Leticia",-3.292778,-70.145556,15,13
"Reseerva Natural Acapù",-4.102951,-69.97443,15,14
"sept 19 sábado, pto nariño, lorecullato y Perú",-3.780241,-70.366035,15,15
"Caño contigua al Tacana trocha Calderón",-4.042976,-69.987915,15,15
"Puerto Nariño. Amazonas. Colombia",-3.77546,-70.392654,15,15
"Rio Amacayacu",-3.693904,-70.355965,15,15
"Amazon River - from Leticia to Macedonia",-4.058361,-70.09927,15,15
"Isla Mocagua- Amazonas, CO",-3.89998,-70.236404,15,15
"Maloca - Huitoto, Leticia Amazonas",-4.152008,-69.9304,15,15
"CO-Amazonas (-4,0782,-69,9991)",-4.078219,-69.99913,15,15
"Mundo Amazónico (Ruta Botánica)",-4.145859,-69.930176,14,5
"CO-Amazonas-Leticia - -4.126x-70.024 - may. 14, 2016 7:08 PM",-4.125703,-70.02418,14,7
"km 22",-4.042505,-70.010124,14,7
"Quebrada Huanganay",-3.919637,-70.149994,14,7
"Reserva Natural Calanoa_Sendero hacia Mocagua",-3.82687,-70.248566,14,7
"Rio Bacaba",-3.80828,-70.254,14,7
"Amazon River between Rio Amacayacu and Mocagua Island",-3.81861,-70.2819,14,7
NULL,-3.826497,-70.249162,14,13
"14-408 Carrera 6, Leticia, Amazonas, CO (-4,202, -69,94)",-4.201803,-69.94047,14,13
"(-4.2127,-69.9433) Parque Santander",-4.212697,-69.943344,14,14
"911018, Puerto Nariño CO-Amazonas -3.77514, -70.37553",-3.775138,-70.37553,14,14
"Quebrada Yahuarcaca LÍm C. SnJuan y Sn Pedro",-4.150225,-69.958275,14,14
"Punta Brava",-4.217258,-69.938835,14,14
"Punta Brava",-4.219232,-69.93759,14,14
"C. Ronda. Borde bosque inundable",-4.132141,-69.98555,14,14
"CO-Amazonas-Leticia (-4,2040,-69,9418)",-4.204005,-69.94177,14,14
"Kasabe tours",-4.100974,-69.94951,14,14
"Lago Terpel, Leticia, Amazonas, CO",-4.190908,-69.94033,14,14
"Parque De Los Loros - Leticia, Amazonas, CO (-4,214, -69,943)",-4.214401,-69.94279,14,14
"La Playa",-4.193244,-69.96237,14,14
"Hotel Anaconda",-4.216225,-69.94259,14,14
"La Arenosa, km 11, Leticia",-4.127931,-69.95334,14,14
"Km 8",-4.141798,-69.93993,14,14
"Inicio de trocha Kms Calderón",-4.047968,-69.99239,14,14
"(-4,1277,-69,9525)",-4.127736,-69.95248,14,14
"Vereda San José",-4.13355,-70.018005,14,14
"Unnamed Road, Tarapaca, Amazonas, CO (-2.89, -69.738)",-2.890262,-69.73815,14,14
"Km17- Frente del relleno",-4.086429,-69.992905,13,10
NULL,-3.77847,-70.37334,13,12
"(-3.8267,-70.2547) Mocagua a Puerto Nariño",-3.826668,-70.25474,13,13
"14/10/2019 7:16 p. m.--3,865, -70,253",-3.865209,-70.25259,13,13
"Moniya Mena",-4.131373,-69.945244,13,13
"Leticia - Parque Santander",-4.213745,-69.944244,13,13
"Puerto Nariño",-3.781232,-70.35613,13,13
